"ID#","Estuary/
Location","general characteristics","Reference","state/
Region","Station
Name","Latitude
DD","Longitude
DD","Date","Month","Year","Time","Water Depth
(m)","BW
Sal","BW
Temp (°C)","BW
pH","BW
NH4
(uM)","BW
PO4
(uM)","BW
NO2
(uM)","BW
NO3
(uM)","BW
NO23
(uM)","BW
DSi
(uM)","BW
DO
(uM)","BW
DO
(mg/L)","O2 Flux or SOC
(umol/m2/hr)","DO Flux 
(g O2/m2/d)","NH4 Flux
(umol/m2/hr)","PO4 Flux
(umol/m2/hr)","NO2 Flux
(umol/m2/hr)","NO23 Flux
(umol/m2/hr)","DSi Flux
(umol/m2/hr)","RES
(gO2/m3/day)","POC
(%DW)","PON
(%DW)","PP
(%DW)","Total
CHLa
(mg/m2)","Active
CHLa
(mg/m2)"
1447,"Potomac","major coastal plain tributary; very eutrophic","Boynton","Maryland","RGPT",38.1621666666667,-76.5893333333333,1985-08-19,"August",1985,"0.3756944444444445",16.5,"15.5",26,"NaN","13.1",0.54,"0.21","NaN","0.78","NaN",96.875,3.1,"-2981.7708333333335","-2.29","319.10000000000002","0","NaN","29.25333333333333","NaN","NaN","3.3000000000000003","0.47000000000000003","5.3999999999999999E-2","135.80000000000001","NaN"
1448,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Boynton","Maryland","PNPT",38.1331666666667,-76.2521666666667,1985-08-20,"August",1985,"0.29166666666666669",14.3,"19.900000000000002",26.1,"NaN","14.5",0.67,"0.92","NaN","1.35","NaN",71.25,2.28,"-1397.5694444444443","-1.0733333333333333","220.56666666666669","-3.04","NaN","-16.886666666666667","NaN","NaN","2.68","0.33","0.112","54.4","NaN"
1449,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Boynton","Maryland","R-64",38.5586166666667,-76.4263833333333,1985-08-20,"August",1985,"0.43055555555555558",16.5,"23.400000000000002",25.6,"NaN","21.3",1.07,"1.5","NaN","2.31","NaN",26.25,0.84,"-2968.7500000000005","-2.2800000000000002","383.86666666666662","26.900000000000002","NaN","-5.3100000000000005","NaN","NaN","3.33","0.46","5.3999999999999999E-2","118.7","NaN"
1450,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Boynton","Maryland","R-78",38.9635,-76.3936666666667,1985-08-20,"August",1985,"0.57291666666666663",15.5,"21.3",25.7,"NaN","23.7",1.48,"0.19","NaN","0.25","NaN",9.375,0.3,"-1315.1041666666667","-1.01","82.666666666666671","-4.4733333333333336","NaN","56.555","NaN","NaN","3.91","0.26","7.5999999999999998E-2","51.7","NaN"
1451,"Choptank","coastal plain tributary","Boynton","Maryland","HNPT",38.6201666666667,-76.1335,1985-08-21,"August",1985,"0.49305555555555558",8.2,"14.8",26.3,"NaN","16.100000000000001",0.65,"2.12","NaN","3.83","NaN",139.6875,4.47,"-1922.7430555555554","-1.4766666666666666","195.56666666666669","-1.83","NaN","29.27","NaN","NaN","2.02","0.31","5.0999999999999997E-2","123.60000000000001","NaN"
1452,"Chesapeake Bay-North","well mixed, low salinity, river dominated estuary","Boynton","Maryland","SLPD",39.3478333333333,-76.1811666666667,1985-08-21,"August",1985,"0.28472222222222221",10.4,"6.3",26.2,"NaN","2.8000000000000003",0.84,"6.22","NaN","16.8","NaN",146.875,4.7,"-1514.7569444444443","-1.1633333333333333","116.93333333333332","5.3449999999999998","NaN","7.46","NaN","NaN","3.34","0.24","4.4999999999999998E-2","56.4","NaN"
1453,"Patuxent","mesohaline coastal plain tributary","Boynton","Maryland","BUVA",38.5185,-76.6636666666667,1985-08-22,"August",1985,"0.40277777777777773",5.8,"13.700000000000001",26.1,"NaN","15.200000000000001",3.25,"7.86","NaN","10.3","NaN",94.375,3.02,"-907.11805555555554","-0.69666666666666666","233.96666666666667","3.2233333333333327","NaN","NaN","NaN","NaN","2.56","0.34","0.13400000000000001","96.7","NaN"
1454,"Patuxent","mesohaline coastal plain tributary","Boynton","Maryland","STLC",38.3802833333333,-76.5011166666667,1985-08-22,"August",1985,"0.3215277777777778",7.9,"15.3",26.3,"NaN","11.1",0.96,"4.92","NaN","6.43","NaN",136.25,4.36,"-1328.125","-1.02","158.36666666666667","-1.6666666666666667","NaN","43.65","NaN","NaN","2.57","0.34","6.8000000000000005E-2","117.5","NaN"
1455,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Boynton","Maryland","PNPT",38.1331666666667,-76.2521666666667,1985-10-14,"October",1985,"0.32291666666666669",14.1,"19.900000000000002",20.4,"NaN","5.7",0.06,"1.1200000000000001","NaN","1.8800000000000001","NaN",180,5.76,"-1354.1666666666667","-1.04","71.866666666666674","2.09","NaN","12.393333333333333","NaN","NaN","1.82","0.26","4.2000000000000003E-2","134.6","21.2"
1456,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Boynton","Maryland","R-64",38.5586166666667,-76.4263833333333,1985-10-14,"October",1985,"0.49305555555555558",16.8,"21.2",21.1,"NaN","13.8",0.55,"1.44","NaN","3.11","NaN",123.75,3.96,"-1753.4722222222224","-1.3466666666666667","344.66666666666669","7.05","NaN","-3.4133333333333336","NaN","NaN","2.72","0.35000000000000003","6.2E-2","116.2","15.8"
1457,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Boynton","Maryland","R-78",38.9635,-76.3936666666667,1985-10-14,"October",1985,"0.63541666666666663",15,"18.3",20.6,"NaN","11.700000000000001",0.51,"0.56000000000000005","NaN","10.8","NaN",96.5625,3.09,"-963.54166666666663","-0.74","84.833333333333329","-1.593333333333333","NaN","52.393333333333338","NaN","NaN","3.16","0.28000000000000003","7.8E-2","110.10000000000001","15.8"
1458,"Choptank","coastal plain tributary","Boynton","Maryland","HNPT",38.6201666666667,-76.1335,1985-10-15,"October",1985,"0.54861111111111105",8.2,"15.3",19.4,"NaN","2.4",0.28,"0.44","NaN","1.55","NaN",262.8125,8.41,"-1453.9930555555554","-1.1166666666666665","231.93333333333331","24.496666666666666","NaN","41.87","NaN","NaN","2.1","0.33","6.4000000000000001E-2","142","16"
1459,"Chesapeake Bay-North","well mixed, low salinity, river dominated estuary","Boynton","Maryland","SLPD",39.3478333333333,-76.1811666666667,1985-10-15,"October",1985,"0.3125",10.6,"7.1000000000000005",18.5,"NaN","6.8",0.65,"1.18","NaN","36.200000000000003","NaN",215.625,6.9,"-1015.625","-0.78","43.65","1.2666666666666666","NaN","-45.426666666666669","NaN","NaN","3.34","0.32","3.7999999999999999E-2","42","2.1"
1460,"Choptank","coastal plain tributary","Boynton","Maryland","WDHL",38.6908333333333,-75.9716666666667,1985-10-15,"October",1985,"0.65625",3.6,"7.5",20.4,"NaN","1.3",1.55,"0.31","NaN","7.9","NaN",226.25,7.24,"-2730.0347222222222","-2.0966666666666667","181.6","30.596666666666664","NaN","92.836666666666659","NaN","NaN","5.26","0.42","0.108","134.6","10.6"
1461,"Patuxent","mesohaline coastal plain tributary","Boynton","Maryland","BUVA",38.5185,-76.6636666666667,1985-10-16,"October",1985,"0.64583333333333337",6,"13.3",21.6,"NaN","0.70000000000000007",2.39,"0.44","NaN","1.94","NaN",256.25,8.2,"-2339.4097222222222","-1.7966666666666666","189.9","25.866666666666664","NaN","20.96","NaN","NaN","2.27","0.31","7.1999999999999995E-2","118","16"
1462,"Patuxent","mesohaline coastal plain tributary","Boynton","Maryland","STLC",38.3802833333333,-76.5011166666667,1985-10-16,"October",1985,"0.72916666666666663",7.3,"17",20.4,"NaN","5.6000000000000005",0.59,"1.6600000000000001","NaN","3.46","NaN",219.0625,7.01,"-1032.9861111111111","-0.79333333333333333","77.666666666666671","7.5066666666666668","NaN","14.613333333333335","NaN","NaN","2.23","0.28000000000000003","7.0999999999999994E-2","NaN","NaN"
1463,"Potomac","major coastal plain tributary; very eutrophic","Boynton","Maryland","MDPT",38.3561666666667,-77.1915,1985-10-17,"October",1985,"0.53472222222222221",10,"8.1",20,"NaN","0.9",1.6,"1.62","NaN","16.8","NaN",252.5,8.08,"-2686.6319444444439","-2.063333333333333","404.83333333333331","4.0666666666666664","NaN","-44.213333333333338","NaN","NaN","2.56","0.32","0.128","53.9","5.9"
1464,"Potomac","major coastal plain tributary; very eutrophic","Boynton","Maryland","RGPT",38.1621666666667,-76.5893333333333,1985-10-17,"October",1985,"0.35416666666666669",16.2,"18.3",20.2,"NaN","8.8000000000000007",0.14,"1.52","NaN","3.0500000000000003","NaN",162.5,5.2,"-1115.4513888888889","-0.85666666666666658","409.73333333333335","1.7633333333333334","NaN","2.5833333333333335","NaN","NaN","3.7800000000000002","0.54","9.1999999999999998E-2","135.80000000000001","21.3"
1465,"Choptank","coastal plain tributary","Boynton","Maryland","HNPT",38.6201666666667,-76.1335,1986-05-03,"May",1986,"0.44791666666666669",7.5,"10.5",14.4,"NaN","0.6",0.04,"0.52","NaN","24.400000000000002","NaN",290.625,9.3,"-1419.2708333333333","-1.0900000000000001","58","1.9100000000000001","NaN","-59.86","NaN","NaN","2.06","0.28000000000000003","6.6000000000000003E-2","307","152"
1466,"Choptank","coastal plain tributary","Boynton","Maryland","WDHL",38.6908333333333,-75.9716666666667,1986-05-03,"May",1986,"0.75624999999999998",2.8,"3.7",16.1,"NaN","1.6",0.45,"0.28000000000000003","NaN","77.7","NaN",303.125,9.7,"-1284.7222222222224","-0.98666666666666669","58.1","9.23","NaN","-107.55","NaN","NaN","4.28","0.33","0.12","71.600000000000009","23"
1467,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Boynton","Maryland","R-78",38.9635,-76.3936666666667,1986-05-04,"May",1986,"0.4375",16,"17.5",10.4,"NaN","13.200000000000001",0.08,"0.83000000000000007","NaN","19.3","NaN",53.125,1.7,"-1028.6458333333333","-0.79","28.400000000000002","0","NaN","-57.543333333333329","NaN","NaN","3.36","0.26","7.4999999999999997E-2","119","53.800000000000004"
1468,"Chesapeake Bay-North","well mixed, low salinity, river dominated estuary","Fluxzilla-Mainstem","Maryland","SLPD",39.3478333333333,-76.1811666666667,1986-05-04,"May",1986,"0.58333333333333337",9.8,"0.2",14.4,"NaN","5.9",0.4,"0.75","NaN","74.5","NaN",284,9.088,"-1866.3","-1.4333183999999999","122.7","1.6","NaN","-81.7","NaN","NaN","5.3","0.25","7.4999999999999997E-2","166","59.800000000000004"
1469,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Boynton","Maryland","PNPT",38.1331666666667,-76.2521666666667,1986-05-05,"May",1986,"0.61805555555555558",14.4,"14.9",13.1,"NaN","4.3",0.05,"0.82000000000000006","NaN","26.400000000000002","NaN",256.25,8.2,"-1341.1458333333333","-1.03","64.933333333333337","0","NaN","-37","NaN","NaN","2.2600000000000002","0.28000000000000003","3.6999999999999998E-2","196","89.7"
1470,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Fluxzilla-Mainstem","Maryland","R-64",38.5586166666667,-76.4263833333333,1986-05-05,"May",1986,"0.40972222222222227",16.5,"17.7",11.8,"NaN","15.2",0.04,"0.76","NaN","20.399999999999999","NaN",163,5.216,"-1063.4000000000001","-0.81669120000000006","194.8","0.2","NaN","-59","NaN","NaN","2.8","0.37","5.8999999999999997E-2","315","133"
1471,"Potomac","major coastal plain tributary; very eutrophic","Boynton","Maryland","RGPT",38.1621666666667,-76.5893333333333,1986-05-06,"May",1986,"0.40972222222222227",16.5,"13.3",12.8,"NaN","3.5",0.09,"1","NaN","27.8","NaN",181.25,5.8,"-3051.2152777777778","-2.3433333333333333","389.56666666666666","2.8333333333333335","NaN","-110.95333333333333","NaN","NaN","3.5","0.47000000000000003","NaN","268","95.7"
1472,"Potomac","major coastal plain tributary; very eutrophic","Boynton","Maryland","MDPT",38.3561666666667,-77.1915,1986-05-07,"May",1986,"0.375",10,"4.8",15.7,"NaN","3.8000000000000003",0.12,"1.1200000000000001","NaN","79.3","NaN",232.5,7.44,"-1766.4930555555557","-1.3566666666666667","89.566666666666663","10.226666666666667","NaN","-3.73","NaN","NaN","2.4300000000000002","0.28000000000000003","0.115","148","53.800000000000004"
1473,"Patuxent","mesohaline coastal plain tributary","Boynton","Maryland","BUVA",38.5185,-76.6636666666667,1986-05-08,"May",1986,"0.5",5.2,"8.8000000000000007",19.1,"NaN","0.3",0.2,"7.0000000000000007E-2","NaN","0.33","NaN",269.375,8.62,"-4205.729166666667","-3.23","92.5","8.2866666666666671","NaN","41.766666666666666","NaN","NaN","2.92","0.35000000000000003","0.13400000000000001","168","47.800000000000004"
1474,"Patuxent","mesohaline coastal plain tributary","Fluxzilla-PAX","Maryland","STLC",38.3802833333333,-76.5011166666667,1986-05-08,"May",1986,"0.29166666666666669",7,"12.3",14.4,"NaN","2.2999999999999998",0.06,"0.75","NaN","23.6","NaN",234,7.488,"-1480","-1.1366400000000001","36.5","2","NaN","-44.7","NaN","NaN","2.4","0.28000000000000003","6.7000000000000004E-2","219","95.7"
1475,"Potomac","major coastal plain tributary; very eutrophic","Boynton","Maryland","MDPT",38.3561666666667,-77.1915,1986-06-23,"June",1986,"0.53194444444444444",9.5,"6.1000000000000005",25.2,"NaN","5.3",1.26,"0.68","NaN","24.3","NaN",153.125,4.9,"-2478.2986111111109","-1.9033333333333331","109.3","2.5033333333333334","NaN","-49","NaN","NaN","2.35","0.27","0.109","152","53.800000000000004"
1476,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Boynton","Maryland","PNPT",38.1331666666667,-76.2521666666667,1986-06-24,"June",1986,"0.31944444444444448",14.4,"18.8",22.6,"NaN","13",0.06,"0.44","NaN","2.2400000000000002","NaN",78.125,2.5,"-894.09722222222217","-0.68666666666666665","145.86666666666667","4.3","NaN","-0.61","NaN","NaN","1.96","0.25","4.2000000000000003E-2","181","65.8"
1477,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Fluxzilla-Mainstem","Maryland","R-64",38.5586166666667,-76.4263833333333,1986-06-24,"June",1986,"0.46527777777777773",17,"18.7",20.4,"NaN","27.3",0.41,"1.51","NaN","2.9","NaN",0,0,"-490.5","-0.37670399999999998","516.6","92.2","NaN","-47.7","NaN","NaN","3.3","0.44","6.7000000000000004E-2","224","83.7"
1478,"Chesapeake Bay-Mid","large mesohaline coastal plain estuary","Boynton","Maryland","R-78",38.9635,-76.3936666666667,1986-06-24,"June",1986,"0.75555555555555554",17.4,"14.700000000000001",21,"NaN","19.3",0.22,"0.64","NaN","4.95","NaN",40.625,1.3,"-1497.3958333333337","-1.1500000000000001","336.2","51.733333333333327","NaN","-66.06","NaN","NaN","3.22","0.3","6.7000000000000004E-2","113","47.800000000000004"
1479,"Choptank","coastal plain tributary","Boynton","Maryland","HNPT",38.6201666666667,-76.1335,1986-06-25,"June",1986,"0.57638888888888895",8,"12.1",24.7,"NaN","1.3",0.12,"0.1","NaN","0.27","NaN",200,6.4,"-3498.2638888888891","-2.686666666666667","239.43333333333331","3.95","NaN","32.613333333333337","NaN","NaN","1.98","0.27","5.0999999999999997E-2","168","47.800000000000004"
1480,"Potomac","major coastal plain tributary; very eutrophic","Boynton","Maryland","RGPT",38.1621666666667,-76.5893333333333,1986-06-25,"June",1986,"0.4",16.5,"14.5",22.6,"NaN","8.9",0.12,"0.16","NaN","0.45","NaN",93.75,3,"-442.70833333333331","-0.34","591.36666666666667","24.96","NaN","-5.18","NaN","NaN","3.48","0.46","6.3E-2","230","83.7"
1481,"Chesapeake Bay-North","well mixed, low salinity, river dominated estuary","Fluxzilla-Mainstem","Maryland","SLPD",39.3478333333333,-76.1811666666667,1986-06-25,"June",1986,"0.35069444444444442",10,"3",24.2,"NaN","4.3",0.81,"0.52","NaN","54.9","NaN",194,6.208,"-2777.8","-2.1333504000000003","103.8","5.9","NaN","-3.7","NaN","NaN","5.7","0.28000000000000003","9.0999999999999998E-2","135","35.9"
1482,"Choptank","coastal plain tributary","Boynton","Maryland","WDHL",38.6908333333333,-75.9716666666667,1986-06-25,"June",1986,"0.625",2.8,"6.4",25.7,"NaN","1.8",1.52,"0.28000000000000003","NaN","11.1","NaN",171.875,5.5,"-2764.7569444444448","-2.1233333333333335","362.43333333333334","18.850000000000001","NaN","52.793333333333329","NaN","NaN","5.09","0.44","0.10100000000000001","141","47.800000000000004"
1483,"Patuxent","mesohaline coastal plain tributary","Boynton","Maryland","BUVA",38.5185,-76.6636666666667,1986-06-26,"June",1986,"0.40972222222222227",5.5,"11.9",24.9,"NaN","4.7",1.17,"0.28000000000000003","NaN","1.21","NaN",168.75,5.4,"-3342.0138888888891","-2.5666666666666669","412.0333333333333","36.053333333333335","NaN","57.01","NaN","NaN","2.83","0.35000000000000003","0.14399999999999999","146","47.800000000000004"
1484,"Patuxent","mesohaline coastal plain tributary","Fluxzilla-PAX","Maryland","STLC",38.3802833333333,-76.5011166666667,1986-06-26,"June",1986,"0.31944444444444448",7.2,"13.700000000000001",24.5,"NaN","4.5999999999999996",0.05,"0.36","NaN","1.5","NaN",184,5.888,"-3858.5","-2.9633280000000002","252.4","1.1000000000000001","NaN","21.7","NaN","NaN","2.2000000000000002","0.28000000000000003","7.6999999999999999E-2","164","53.800000000000004"
